,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
200,201,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),96%,91.0,0.047,384.0,8192.0,,,,,,,,,,,
201,202,[voyage-large-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1536.0,16000.0,,,,,,,,,,,
202,203,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,253.0,0.066,768.0,512.0,,,,,,,,,,,
203,204,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),99%,1242.0,0.335,1024.0,512.0,,,,,,-2.37,,,,,
204,205,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,87.0,0.023,384.0,512.0,,,,,,,,,,,
205,206,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100%,2367.0,3.0,768.0,512.0,,,,,,,,,,,
206,207,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),99%,390.0,0.109,768.0,512.0,,,,,,-3.11,,,,,
207,208,[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl),100%,9279.0,11.0,768.0,512.0,,,,,,,,,,,
208,209,[KaLM-embedding-multilingual-mini-instruct-v2](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2),92%,942.0,0.494,896.0,512.0,,,,,,,,,,,
209,210,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),93%,27125.0,7.11,8000.0,32768.0,,,,,,,,,,,
210,211,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),93%,27125.0,7.11,4000.0,32768.0,,,,,,,,,,,
