,Model,FaroeseSTS,FinParaSTS,GermanSTSBenchmark,IndicCrosslingualSTS,JSICK,SICK-R,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSB,STSBenchmark,STSES,SemRel24STS
42,stella_en_400M_v5,63.41164396990035,15.533759032122147,73.0145420472271,6.726973228853077,58.125615488062046,81.4748469518998,81.33552823557412,88.63998125652698,84.7722847346502,90.22928378885277,57.12350981367403,62.002599912535274,44.60396720051284,87.63996146760704,76.84757660305823,40.19127189502412
43,Arabic-all-nli-triplet-Matryoshka,62.5112,28.14115,83.08725,37.58553333333334,72.7201,79.39435627520159,78.93043293576132,82.73032633919925,81.64974497557361,87.62163215009723,82.46652727272728,61.78161111111111,81.26575,86.16303183485594,74.1421,60.38239166666667
44,GIST-large-Embedding-v0,63.7884,10.3363,67.8534,-0.14881666666666654,63.6089,82.79782085421951,77.12670500926937,89.28563503553643,83.8288465070091,89.69728364350713,89.66118745178284,53.705077777777774,46.32705,88.30389489193672,74.7522,41.81265833333334
45,Cohere-embed-english-v3.0,68.03099999999999,16.153950000000002,70.95745,2.799533333333333,68.4049,81.27177640994141,74.37099514810372,85.20181466598035,80.97859876561874,89.22666720704161,90.3370719075361,60.17488888888889,43.424350000000004,88.54881886307972,75.5994,39.991249999999994
46,paraphrase-multilingual-mpnet-base-v2,53.296243478420536,25.520348803775217,84.39918653036128,34.09687373505032,64.69901497355703,79.62205774287166,77.89525808313972,85.1067656701606,80.80585658408256,87.48018793840922,82.51857092057722,61.675165149669255,82.4449173961031,86.82218476677824,72.79937941549619,55.39463518408585
47,multilingual-e5-small,68.18039999999999,20.1573,80.88415,45.93134166666666,81.4204,78.6312,78.0543,77.4714,77.5423,87.4871,87.1582,65.8568888888889,79.7172,83.5893,79.6527,61.51575833333332
48,text-embedding-3-small,65.63423078970047,17.413570572498877,82.16816901357919,4.129674535283759,80.80212135305126,76.73167594,73.08926436,84.91997414,79.81407149,88.01202172,90.94015166,66.02746986805053,77.78555263836353,84.23906518999999,78.09369763677147,60.89785224623995
49,multilingual-e5-base,66.32589857661965,22.72335634612951,81.32822872718026,41.11388999826918,81.22589759302916,78.51396550478343,76.69682068361314,78.02330106775197,76.59646479642242,88.15964513683959,78.3495220311829,64.60216150229415,80.68840851794232,85.6393074887954,81.63465862445543,61.486457091402826
50,Solon-embeddings-large-0.1,72.6873,23.76355,81.2426,53.05509166666666,79.675,78.227,73.4113,79.31869999999999,77.83919999999999,86.86779999999999,82.44014545454544,70.91513888888889,79.51905,83.5086,76.3617,68.79189166666667
51,SFR-Embedding-2_R,76.18155073073154,19.24935152558195,80.08042266863843,21.696509733881733,83.78054628722683,76.99265897099083,75.68517860427303,82.33675805831938,79.87787992067578,85.76600770180892,80.9712191114691,67.15548393751483,78.03711069458885,83.55880011831174,78.58187209410636,66.70738345759622
52,Cohere-embed-multilingual-light-v3.0,66.9596,23.96205,78.7069,42.4775,82.5874,77.03523134004043,73.21878234127571,79.49916779764082,76.9552055757283,86.42805701554927,88.6693290310468,68.62112777777779,77.71114999999999,85.46101092708824,79.8427,60.60305
53,UAE-Large-V1,64.11057176624087,8.09901526726979,67.7536409716225,2.3132239743669625,62.78255263784759,82.62331465639475,79.09144554302442,89.6171319711762,85.01783656853793,89.50909892872387,43.53181258063066,50.82202742464148,43.78498621850465,89.06081794905042,76.60494323611017,37.282938340141314
